,Unnamed: 0,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,enrolled,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student,clusters
0,0,-9,121,27,3095.8,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
1,1,1,2240,28,3174.9,728532.0,6.8101149209627305,3.5639613880088854,1.8707473755413333,0
2,2,2,7093,24,3080.6,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
3,3,3,18061,25,3138.95,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
4,4,4,12969,27,3187.0,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
5,5,5,4687,29,3237.8500000000004,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
6,6,6,9098,30,3307.55,726367.0,7.146411868448171,3.733318317795228,1.9890765929151488,0
7,7,7,3884,32,3310.85,730184.0,6.512027358852081,3.40759369431755,1.7699315917308092,0
8,8,8,998,33,3282.55,737639.0,6.165523510810694,3.240434546607557,1.6528574729972851,0
9,9,-9,147,27,3052.55,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
10,10,1,1990,28,3184.7,726367.0,7.146411868448171,3.733318317795228,1.9890765929151488,0
11,11,2,6628,24,3078.4,742919.0,9.689300586255913,4.912880536422335,2.923180786000234,0
12,12,3,18365,25,3129.4,742919.0,9.689300586255913,4.912880536422335,2.923180786000234,0
13,13,4,13035,27,3176.6000000000004,743265.0,8.918840284428144,4.548920960788185,2.6514714435578983,0
14,14,5,4857,29,3250.05,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
15,15,6,8959,30,3316.25,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
16,16,7,3821,32,3300.25,728532.0,6.8101149209627305,3.5639613880088854,1.8707473755413333,0
17,17,8,1139,33,3272.3,730184.0,6.512027358852081,3.40759369431755,1.7699315917308092,0
18,18,-9,112,27,3129.95,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
19,19,1,1856,28,3185.9,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
20,20,2,6169,24,3061.1,745668.0,9.91833370261277,5.023747230815238,3.0112448840215444,0
21,21,3,18306,26,3120.7,742919.0,9.689300586255913,4.912880536422335,2.923180786000234,0
22,22,4,12493,27,3184.2,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
23,23,5,5034,29,3233.45,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
24,24,6,8833,30,3305.6,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
25,25,7,3857,32,3290.0,726367.0,7.146411868448171,3.733318317795228,1.9890765929151488,0
26,26,8,1101,33,3281.85,728532.0,6.8101149209627305,3.5639613880088854,1.8707473755413333,0
27,27,-9,98,28,3116.25,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
28,28,1,2350,28,3187.05,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
29,29,2,5855,24,3090.15,748889.0,10.088126859665014,5.103487774075398,3.074626996876383,0
30,30,3,18887,26,3117.6,745668.0,9.91833370261277,5.023747230815238,3.0112448840215444,0
31,31,4,12545,27,3161.85,742919.0,9.689300586255913,4.912880536422335,2.923180786000234,0
32,32,5,5017,29,3238.35,743265.0,8.918840284428144,4.548920960788185,2.6514714435578983,0
33,33,6,8892,30,3290.5,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
34,34,7,3915,32,3307.8,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
35,35,8,1056,33,3325.6000000000004,726367.0,7.146411868448171,3.733318317795228,1.9890765929151488,0
36,36,-9,79,30,3003.1,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
37,37,1,2294,28,3156.55,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
38,38,2,5612,25,3086.4,748889.0,10.088126859665014,5.103487774075398,3.074626996876383,0
39,39,3,19011,26,3114.3,748889.0,10.088126859665014,5.103487774075398,3.074626996876383,0
40,40,4,11508,27,3176.3,745668.0,9.91833370261277,5.023747230815238,3.0112448840215444,0
41,41,5,5096,29,3227.75,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
42,42,6,8850,30,3288.6,743265.0,8.918840284428144,4.548920960788185,2.6514714435578983,0
43,43,7,4076,32,3291.7,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
44,44,8,1121,33,3278.0,727900.0,7.518007974191148,3.907977800624369,2.136339378717363,0
45,45,-9,62,28,3079.45,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
46,46,1,2386,28,3177.85,743265.0,8.918840284428144,4.548920960788185,2.6514714435578983,0
47,47,2,5240,24,3093.0,744621.0,10.118760467702351,5.122520173066105,3.131240922537317,0
48,48,3,19165,26,3125.35,746933.0,10.169620512716492,5.139491338753004,3.118185392336664,0
49,49,4,11255,28,3163.75,745668.0,9.91833370261277,5.023747230815238,3.0112448840215444,0
50,50,5,5039,29,3213.15,742919.0,9.689300586255913,4.912880536422335,2.923180786000234,0
51,51,6,9266,30,3290.05,743273.0,9.33771683170606,4.740089781872166,2.793217728657612,0
52,52,7,4421,32,3280.95,729342.0,8.433971440090048,4.3490296803348505,2.4829994052888944,0
53,53,8,1220,33,3296.05,730418.0,7.922301905658128,4.110943403074094,2.296156096476593,0
54,54,-9,166,30,3378.1,132822.0,10.468694659315103,5.377339986652642,3.2995899902932897,0
55,55,1,76,28,3329.5,131985.0,10.856841109899014,5.482101675688793,3.44977825658718,0
56,56,2,1050,24,3317.8,132197.0,15.401177040236291,7.374711248779255,5.167217179435623,0
