,state,year,education_level,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
0,Alabama,2016,Unknown or Not Stated,-9,121,27,3095.8,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
1,Alabama,2016,8th grade or less,1,2240,28,3174.9,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,6.981223885841665,3.6462269330653974,1.8863481631554964,6.8101149209627305,3.5639613880088854,1.8707473755413333
2,Alabama,2016,9th through 12th grade with no diploma,2,7093,24,3080.6,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
3,Alabama,2016,High school graduate or GED completed,3,18061,25,3138.95,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
4,Alabama,2016,"Some college credit, but not a degree",4,12969,27,3187.0,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
5,Alabama,2016,"Associate degree (AA, AS)",5,4687,29,3237.8500000000004,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
6,Alabama,2016,"Bachelor's degree (BA, AB, BS)",6,9098,30,3307.55,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.087079947189231,3.7456753954956654,1.9474921079839806,7.146411868448171,3.7333183177952276,1.9890765929151486
7,Alabama,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3884,32,3310.85,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903,6.852063315547862,3.494616425448928,1.8064665892432592,6.512027358852081,3.40759369431755,1.7699315917308092
8,Alabama,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,998,33,3282.55,1999,737639.0,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314.0,515798,6.2670357722408925,3.2531170396359195,1.6377672547140267,6.165523510810694,3.2404345466075575,1.6528574729972851
9,Alabama,2017,Unknown or Not Stated,-9,147,27,3052.55,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
10,Alabama,2017,8th grade or less,1,1990,28,3184.7,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.087079947189231,3.7456753954956654,1.9474921079839806,7.146411868448171,3.7333183177952276,1.9890765929151486
11,Alabama,2017,9th through 12th grade with no diploma,2,6628,24,3078.3999999999996,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
12,Alabama,2017,High school graduate or GED completed,3,18365,25,3129.4,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
13,Alabama,2017,"Some college credit, but not a degree",4,13035,27,3176.6000000000004,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,8.868208512441727,4.475733419439904,2.6686067553295256,8.918840284428144,4.548920960788185,2.6514714435578983
14,Alabama,2017,"Associate degree (AA, AS)",5,4857,29,3250.05,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
15,Alabama,2017,"Bachelor's degree (BA, AB, BS)",6,8959,30,3316.25,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
16,Alabama,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3821,32,3300.25,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,6.981223885841665,3.6462269330653974,1.8863481631554964,6.8101149209627305,3.5639613880088854,1.8707473755413333
17,Alabama,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1139,33,3272.3,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903,6.852063315547862,3.494616425448928,1.8064665892432592,6.512027358852081,3.40759369431755,1.7699315917308092
18,Alabama,2018,Unknown or Not Stated,-9,112,27,3129.95,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
19,Alabama,2018,8th grade or less,1,1856,28,3185.8999999999996,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
20,Alabama,2018,9th through 12th grade with no diploma,2,6169,24,3061.1,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956,10.48116185755591,5.144914358669006,3.126796375867008,9.91833370261277,5.023747230815238,3.0112448840215444
21,Alabama,2018,High school graduate or GED completed,3,18306,26,3120.7,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
22,Alabama,2018,"Some college credit, but not a degree",4,12493,27,3184.2,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
23,Alabama,2018,"Associate degree (AA, AS)",5,5034,29,3233.45,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
24,Alabama,2018,"Bachelor's degree (BA, AB, BS)",6,8833,30,3305.6,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
