,state,year,education_level,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,ref_year
0,Alabama,2016,Unknown or Not Stated,-9,121,27,3095.8,2003
1,Alabama,2016,8th grade or less,1,2240,28,3174.9,2001
2,Alabama,2016,9th through 12th grade with no diploma,2,7093,24,3080.6,2007
3,Alabama,2016,High school graduate or GED completed,3,18061,25,3138.95,2007
4,Alabama,2016,"Some college credit, but not a degree",4,12969,27,3187.0,2005
5,Alabama,2016,"Associate degree (AA, AS)",5,4687,29,3237.8500000000004,2003
6,Alabama,2016,"Bachelor's degree (BA, AB, BS)",6,9098,30,3307.55,2002
7,Alabama,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3884,32,3310.85,2000
8,Alabama,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,998,33,3282.55,1999
9,Alabama,2017,Unknown or Not Stated,-9,147,27,3052.55,2004
10,Alabama,2017,8th grade or less,1,1990,28,3184.7,2002
11,Alabama,2017,9th through 12th grade with no diploma,2,6628,24,3078.3999999999996,2008
12,Alabama,2017,High school graduate or GED completed,3,18365,25,3129.4,2008
13,Alabama,2017,"Some college credit, but not a degree",4,13035,27,3176.6000000000004,2006
14,Alabama,2017,"Associate degree (AA, AS)",5,4857,29,3250.05,2004
15,Alabama,2017,"Bachelor's degree (BA, AB, BS)",6,8959,30,3316.25,2003
16,Alabama,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3821,32,3300.25,2001
17,Alabama,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1139,33,3272.3,2000
18,Alabama,2018,Unknown or Not Stated,-9,112,27,3129.95,2005
19,Alabama,2018,8th grade or less,1,1856,28,3185.8999999999996,2003
20,Alabama,2018,9th through 12th grade with no diploma,2,6169,24,3061.1,2009
21,Alabama,2018,High school graduate or GED completed,3,18306,26,3120.7,2008
22,Alabama,2018,"Some college credit, but not a degree",4,12493,27,3184.2,2007
23,Alabama,2018,"Associate degree (AA, AS)",5,5034,29,3233.45,2005
24,Alabama,2018,"Bachelor's degree (BA, AB, BS)",6,8833,30,3305.6,2004
25,Alabama,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3857,32,3290.0,2002
26,Alabama,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1101,33,3281.85,2001
27,Alabama,2019,Unknown or Not Stated,-9,98,28,3116.25,2005
28,Alabama,2019,8th grade or less,1,2350,28,3187.05,2004
29,Alabama,2019,9th through 12th grade with no diploma,2,5855,24,3090.15,2010
30,Alabama,2019,High school graduate or GED completed,3,18887,26,3117.6,2009
31,Alabama,2019,"Some college credit, but not a degree",4,12545,27,3161.85,2008
32,Alabama,2019,"Associate degree (AA, AS)",5,5017,29,3238.35,2006
33,Alabama,2019,"Bachelor's degree (BA, AB, BS)",6,8892,30,3290.5,2005
34,Alabama,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,3915,32,3307.8,2003
35,Alabama,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1056,33,3325.6000000000004,2002
36,Alabama,2020,Unknown or Not Stated,-9,79,30,3003.1,2004
37,Alabama,2020,8th grade or less,1,2294,28,3156.55,2005
38,Alabama,2020,9th through 12th grade with no diploma,2,5612,25,3086.4,2010
39,Alabama,2020,High school graduate or GED completed,3,19011,26,3114.3,2010
40,Alabama,2020,"Some college credit, but not a degree",4,11508,27,3176.3,2009
41,Alabama,2020,"Associate degree (AA, AS)",5,5096,29,3227.75,2007
42,Alabama,2020,"Bachelor's degree (BA, AB, BS)",6,8850,30,3288.6,2006
43,Alabama,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4076,32,3291.7,2004
44,Alabama,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1121,33,3278.0,2003
45,Alabama,2021,Unknown or Not Stated,-9,62,28,3079.45,2007
46,Alabama,2021,8th grade or less,1,2386,28,3177.85,2006
47,Alabama,2021,9th through 12th grade with no diploma,2,5240,24,3093.0,2012
48,Alabama,2021,High school graduate or GED completed,3,19165,26,3125.35,2011
49,Alabama,2021,"Some college credit, but not a degree",4,11255,28,3163.75,2009
50,Alabama,2021,"Associate degree (AA, AS)",5,5039,29,3213.15,2008
51,Alabama,2021,"Bachelor's degree (BA, AB, BS)",6,9266,30,3290.05,2007
52,Alabama,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4421,32,3280.95,2005
53,Alabama,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1220,33,3296.05,2004
54,Alaska,2016,Unknown or Not Stated,-9,166,30,3378.1,2000
55,Alaska,2016,8th grade or less,1,76,28,3329.5,2001
56,Alaska,2016,9th through 12th grade with no diploma,2,1050,24,3317.8,2007
57,Alaska,2016,High school graduate or GED completed,3,3346,26,3378.85,2006
58,Alaska,2016,"Some college credit, but not a degree",4,2911,28,3427.4,2004
59,Alaska,2016,"Associate degree (AA, AS)",5,906,30,3426.6000000000004,2002
60,Alaska,2016,"Bachelor's degree (BA, AB, BS)",6,1848,31,3413.1,2001
61,Alaska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,719,33,3419.5,1999
62,Alaska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,187,34,3404.25,1998
63,Alaska,2017,Unknown or Not Stated,-9,156,29,3209.75,2002
64,Alaska,2017,8th grade or less,1,88,28,3196.15,2002
65,Alaska,2017,9th through 12th grade with no diploma,2,942,24,3307.3,2008
66,Alaska,2017,High school graduate or GED completed,3,3097,27,3384.4,2006
67,Alaska,2017,"Some college credit, but not a degree",4,2723,28,3409.2,2005
68,Alaska,2017,"Associate degree (AA, AS)",5,844,30,3410.4,2003
69,Alaska,2017,"Bachelor's degree (BA, AB, BS)",6,1722,31,3430.25,2002
70,Alaska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,688,33,3452.05,2000
71,Alaska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,185,34,3330.95,1999
72,Alaska,2018,Unknown or Not Stated,-9,139,29,3272.75,2003
73,Alaska,2018,8th grade or less,1,63,28,3292.95,2003
74,Alaska,2018,9th through 12th grade with no diploma,2,880,25,3276.05,2008
75,Alaska,2018,High school graduate or GED completed,3,3021,26,3392.45,2008
76,Alaska,2018,"Some college credit, but not a degree",4,2556,28,3408.7,2006
77,Alaska,2018,"Associate degree (AA, AS)",5,838,30,3424.8999999999996,2004
78,Alaska,2018,"Bachelor's degree (BA, AB, BS)",6,1737,31,3436.05,2003
79,Alaska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,643,33,3454.0,2001
80,Alaska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,209,34,3409.2,2000
81,Alaska,2019,Unknown or Not Stated,-9,169,29,3295.95,2004
82,Alaska,2019,8th grade or less,1,68,30,3246.55,2002
83,Alaska,2019,9th through 12th grade with no diploma,2,830,25,3235.55,2009
84,Alaska,2019,High school graduate or GED completed,3,3001,27,3366.4,2008
85,Alaska,2019,"Some college credit, but not a degree",4,2446,28,3408.1,2007
86,Alaska,2019,"Associate degree (AA, AS)",5,776,30,3422.5,2005
