,state,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
0,Alabama,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,,,,4.251394549850329,2.3402586812971893,1.148465030303275
51,Alabama,1993,727716.0,2827391,331409,1729295,766687,2833433,1564558,794146,237222.0,204207,3.893597227489845,2.1499568512991334,1.0912856114198397,4.402102356636515,2.43021289910082,1.179020926463229
102,Alabama,1994,730004.0,2970223,331823,1850894,787506,3103266,1697593,826442,306977.0,231508,4.251026021775223,2.3254571207829,1.132106125445888,4.596729146852014,2.512638936802551,1.2348827071639705
153,Alabama,1995,727480.0,3367437,328957,2161366,877114,3353363,1851700,888983,326956.0,243365,4.609560400285918,2.545362071809534,1.2220033540440973,4.787574217401032,2.594030346083094,1.289553881132343
204,Alabama,1996,735912.0,3365113,334858,2138717,891538,3572283,1987018,935115,322883.0,286699,4.854225776995076,2.7000755525117133,1.270688614943091,4.99892586809244,2.688185588019212,1.3392986487868692
255,Alabama,1997,737386.0,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955.0,420070,5.375236307714006,2.8423430876094744,1.4583298299669372,5.421563880672157,2.880279812897754,1.4414673599045005
306,Alabama,1998,739321.0,4140537,374153,2589819,1176565,4245033,2218693,1155492,357731.0,458351,5.741799570146121,3.0009873924858077,1.5629097509742047,5.811592146967363,3.068961214652396,1.5492162224344448
357,Alabama,1999,737639.0,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314.0,515798,6.2670357722408925,3.2531170396359195,1.6377672547140267,6.165523510810694,3.2404345466075575,1.6528574729972851
408,Alabama,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903,6.852063315547862,3.494616425448928,1.8064665892432592,6.512027358852081,3.40759369431755,1.7699315917308092
459,Alabama,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,6.981223885841665,3.6462269330653974,1.8863481631554964,6.8101149209627305,3.5639613880088854,1.8707473755413333
510,Alabama,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.087079947189231,3.7456753954956654,1.9474921079839806,7.146411868448171,3.7333183177952276,1.9890765929151486
561,Alabama,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279,7.2797527132847915,3.8701895864816596,2.0902074460777578,7.518007974191148,3.907977800624369,2.136339378717363
612,Alabama,2004,730418.0,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522.0,449619,7.461849242488547,3.9369169434488196,2.1640403166406084,7.922301905658128,4.110943403074094,2.2961560964765932
663,Alabama,2005,729342.0,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605.0,511944,8.095878202544212,4.186485900990208,2.391214272590911,8.433971440090048,4.3490296803348505,2.4829994052888944
714,Alabama,2006,743265.0,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936.0,666550,8.868208512441727,4.475733419439904,2.6686067553295256,8.918840284428144,4.548920960788185,2.6514714435578983
765,Alabama,2007,743273.0,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077.0,687816,9.682120835816718,4.915375642597,2.9251836135578717,9.337716831706059,4.740089781872166,2.793217728657612
816,Alabama,2008,742919.0,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746.0,816799,10.56291062686511,5.312830873890693,3.1942513248416047,9.689300586255913,4.9128805364223345,2.923180786000234
867,Alabama,2009,745668.0,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019.0,924956,10.48116185755591,5.144914358669006,3.126796375867008,9.91833370261277,5.023747230815238,3.0112448840215444
918,Alabama,2010,748889.0,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539.0,729720,10.211888544230186,5.208371334069535,3.0824314417757503,10.088126859665014,5.103487774075398,3.074626996876383
969,Alabama,2011,746933.0,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140.0,564183,9.922935524337523,5.146452225299994,3.0737817180389673,10.169620512716492,5.139491338753004,3.1181853923366636
1020,Alabama,2012,744621.0,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658.0,580949,9.699110017042226,4.962552761740536,3.007662958740084,10.118760467702353,5.122520173066105,3.131240922537317
1071,Alabama,2013,744548.0,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737.0,643522,10.056760611807432,5.033917222261023,3.1122815453133983,10.120479158811074,5.139191113199295,3.158956044580825
1122,Alabama,2014,740081.0,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642.0,580934,10.252576407177052,5.16740059534024,3.230092381779832,10.10524426124122,5.1276610763875885,3.1717101450483374
1173,Alabama,2015,734974.0,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283.0,510091,10.20689031176613,5.194032714082403,3.28564003624618,10.141706008621961,5.123902846605107,3.191295830450212
1224,Alabama,2016,734652.0,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452.0,610743,10.493192695316967,5.261610939601335,3.320802230171564,10.252355006516893,5.164240367821249,3.237204048377744
1,Alaska,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,,,,9.302059945157135,4.122030985081185,3.641598903550238
52,Alaska,1993,121156.0,1191398,176150,775829,239419,1126398,494917,433788,36291.0,135791,9.297088051767968,4.0849565848988085,3.580408729241639,9.433238886230775,4.353437906491907,3.454489242565325
103,Alaska,1994,123868.0,1052282,134168,668229,249885,1116160,516242,446458,36589.0,98486,9.010882552394484,4.167678496463978,3.604304582297284,9.477407462589577,4.500262011356641,3.345422629468943
154,Alaska,1995,125421.0,1117068,123037,710028,284003,1203817,515914,469085,37579.0,159146,9.598209231308951,4.11345787388077,3.7400833991117914,9.458054046198537,4.61887072517123,3.2681392039493367
205,Alaska,1996,126189.0,1120346,123505,706116,290725,1240031,636959,365085,38996.0,179297,9.826775709451695,5.047658670724073,2.893160259610584,9.487225246640378,4.713474801570975,3.233449224064912
256,Alaska,1997,128143.0,1131950,145563,692364,294023,1237103,651935,372788,40973.0,152330,9.654081768024785,5.087558430815573,2.9091561770834145,9.650759010182213,4.901861080608839,3.171153123983242
307,Alaska,1998,130633.0,1206195,157335,745814,303046,1222893,680848,376448,42456.0,104903,9.361286964243337,5.21191429424418,2.8817220763513047,9.881886645164775,5.065280033676236,3.1752616641371474
358,Alaska,1999,133508.0,1243227,187153,740163,315911,1289988,705069,403903,42897.0,119079,9.662252449291428,5.28109925996944,3.0253093447583663,10.146817520548577,5.280185430902136,3.1620032701218115
409,Alaska,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,10.441824396560811,5.403660538163859,3.144336028669949,10.468694659315105,5.377339986652642,3.2995899902932897
460,Alaska,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.628775997272417,5.31161116793575,3.633064363374626,10.856841109899014,5.482101675688793,3.4497782565871797
511,Alaska,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,11.452725358995565,5.61779565446207,3.6472746410044357,11.407190375100043,5.631602250962978,3.640580462444077
562,Alaska,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005,12.079915680817386,5.727740560977622,3.8562673008109343,11.980810059740334,5.8139324780144745,3.854667375811573
613,Alaska,2004,133153.0,1477152,286447,809810,380895,1647250,775069,527349,54475.0,255826,12.371106922112157,5.820890254068628,3.9604740411406425,12.584213789723236,6.044064443226946,4.103414332483292
